Carimbo de data/hora,Com que frequência costuma jogar games?,Idade (anos):,Gênero:,Estado de residência?,Situação atual,Grau de escolaridade,Qual plataforma prefere usar para jogar?,"Você conhece os componentes do seu computador (Processador, Placa de Vídeo e Memória RAM) ?",Quantos Gigabytes de memória RAM?,Qual a marca do seu processador?,Qual o modelo do processador?,Qual a marca da sua placa de Vídeo?,Qual o modelo da sua placa de vídeo?,Quantos Gigabytes possui sua placa de video?,A maioria das suas peças foram compradas em:,Qual console você possui?,O seu console mais recente foi comprado em:,Qual seu estilo de jogo favorito?,Qual seu jogo preferido?,"Em média, quanto costuma gastar mensalmente com jogos?"
23/06/2019 07:53:34,Frequentemente,52,Homem,São Paulo – SP,Só Trabalha,Ensino Médio Completo,Console (video game),,,,,,,,,"XBOX 360, XBOX ONE, ps2",Loja virtual,"Aventura, Corrida, Esporte, FPS/TPS, Mundo Aberto, Simulação",RDR1 e 2,R$51 a R$100
23/06/2019 08:12:55,Frequentemente,22,Homem,Paraná – PR,Só Estuda,Ensino Superior Completo,Console (video game),,,,,,,,,Playstation 4,Loja física,"Aventura, Corrida, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror",Wow,R$51 a R$100
23/06/2019 08:14:03,Regularmente,23,Mulher,São Paulo – SP,Só Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I3 6300,Nvidia,GTX 950,2 GB,Loja virtual,,,"Aventura, Luta, Mundo Aberto, RPG/MMORPG",Wow,R$1 a R$50
23/06/2019 08:25:03,Frequentemente,14,Homem,Espírito Santo – ES,Só Estuda,Ensino Fundamental Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I5 4400,Nvidia,GTX 960,2 GB,Loja virtual,,,"FPS/TPS, RPG/MMORPG",League of Legends,R$51 a R$100
23/06/2019 08:49:07,Frequentemente,23,Homem,Alagoas – AL,Não Estuda e Não Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,8 GB,Intel,Core 2 duo,Nvidia,GTX 420,2 GB,Loja virtual,,,"Mundo Aberto, RPG/MMORPG, Sobrevivência",WoW,R$51 a R$100
23/06/2019 09:37:32,Frequentemente,15,Homem,Rio Grande do Sul – RS,Só Estuda,Ensino Fundamental Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I3 7100,AMD,RX 570,4 GB,Loja virtual,,,"Esporte, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG",RUST,R$1 a R$50
23/06/2019 09:57:14,Regularmente,25,Mulher,Espírito Santo – ES,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i5 7400,Nvidia,GTX 1060,3 GB,Loja física,,,"Aventura, MOBA, RPG/MMORPG",World of Warcraft,R$1 a R$50
23/06/2019 10:18:56,Frequentemente,26,Homem,São Paulo – SP,Só Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,16 GB,Intel,i7 4790k,Nvidia,gtx 1080,8 GB,Loja virtual,,,"Mundo Aberto, RPG/MMORPG, Sobrevivência","Rocket League, Bloodstained",R$1 a R$50
23/06/2019 10:23:05,Frequentemente,23,Mulher,São Paulo – SP,Não Estuda e Não Trabalha,Ensino Médio Completo,Notebook,Não,,,,,,,,,,"FPS/TPS, Mundo Aberto, RPG/MMORPG, Terror",League of legends,R$51 a R$100
23/06/2019 10:24:58,Frequentemente,17,Homem,São Paulo – SP,Só Estuda,Ensino Médio Incompleto,Console (video game),,,,,,,,,XBOX ONE,Loja virtual,Corrida,Gears of War 3,R$1 a R$50
23/06/2019 10:45:44,Regularmente,16,Homem,Minas Gerais – MG,Estuda e Trabalha,Ensino Médio Incompleto,Desktop (PC de mesa),Sim,4 GB,Intel,i3 2100,AMD,Radeon HD 6800,1 GB,Loja virtual,,,"Aventura, FPS/TPS, Luta, MOBA",Street Fighter 4,Nada
23/06/2019 10:48:55,Frequentemente,40,Homem,São Paulo – SP,Só Trabalha,Ensino Superior Completo,Console (video game),,,,,,,,,XBOX ONE,Loja física,"Corrida, FPS/TPS, MOBA, RPG/MMORPG",Forza Horizon,R$51 a R$100
23/06/2019 10:55:54,Frequentemente,23,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,Ryzen 5 1600,AMD,Rx 460,4 GB,Loja virtual,,,"Aventura, Mundo Aberto, RPG/MMORPG, Sobrevivência",Não consigo escolher ,R$1 a R$50
23/06/2019 10:56:12,Regularmente,20,Homem,São Paulo – SP,Só Estuda,Ensino Superior Incompleto,Notebook,Sim,8 GB,Intel,i5 4210u,Nvidia,gtx 710 2gb,2 GB,Loja virtual,,,"Luta, RPG/MMORPG",Monster Hunter,R$1 a R$50
23/06/2019 11:12:27,Regularmente,18,Mulher,Pernambuco – PE,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Não,,,,,,,,,,"Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG",World of Warcraft!,R$1 a R$50
23/06/2019 11:15:14,Frequentemente,27,Homem,Rio Grande do Sul – RS,Só Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,Intel,i7 87k,Nvidia,Gtx 1070,6 GB,Loja virtual,,,"Esporte, FPS/TPS, RPG/MMORPG",Donkey Kong country 3,R$101 a R$150
23/06/2019 11:26:36,Frequentemente,27,Homem,Rio Grande do Sul – RS,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I3,Nvidia,Gtx 1060,6 GB,Loja virtual,,,"Aventura, FPS/TPS, Mundo Aberto, RPG/MMORPG, Rts real time strategy um dos generos mais legais voce nao colocou na pesquisa.",World of warcraft,R$1 a R$50
23/06/2019 11:27:07,Frequentemente,25,Mulher,Paraná – PR,Só Trabalha,Ensino Superior Completo,Notebook,Sim,8 GB,Intel,Inter i7 5500U,Nvidia,Geforce 920m,2 GB,Loja física,,,"Aventura, FPS/TPS, RPG/MMORPG",World of warcraft,R$51 a R$100
23/06/2019 11:35:32,Regularmente,21,Homem,São Paulo – SP,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,4 GB,Intel,I5,Nvidia,GTX 750,2 GB,Loja física,,,"RPGs, Luta, independentes, e aventura",Crash Bandicoot,R$101 a R$150
23/06/2019 11:40:10,Frequentemente,30,Homem,Espírito Santo – ES,Estuda e Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,16 GB,Intel,Core i5,Nvidia,gtx 1050 ti 4 gb,4 GB,Loja física,,,"ARCADE, Aventura, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência, Terror",World of Warcraft,R$151 a R$200
23/06/2019 11:44:07,Frequentemente,27,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,AMD,ryzen 1700,AMD,rx 580,8 GB,Loja virtual,,,RPG/MMORPG,world of warcraft,R$51 a R$100
